ts,task,model,effort,round,seconds,output_tokens,reasoning_tokens,input_tokens,chars,correct_or_score,rc,loose_score
2026-07-03T11:50:21,realistic,opus,medium,1,29.581,1223,,7391,1182,,0,
2026-07-03T11:50:32,realistic,fable,high,7,31.524,1207,,6771,1119,,0,
2026-07-03T11:50:41,audit,fable,low,2,19.94,495,,7116,686,3,0,
2026-07-03T11:50:55,realistic,opus,low,2,23.912,1043,,7402,867,,0,
2026-07-03T11:51:04,realistic,opus,xhigh,3,53.017,3061,,7402,1047,,0,
2026-07-03T11:51:11,realistic,opus,xhigh,2,30.505,1595,,7391,1045,,0,
2026-07-03T11:51:15,easy,fable,high,6,19.121,375,,6347,999,1,0,
2026-07-03T11:51:17,easy,fable,high,1,13.024,408,,6347,1061,1,0,
2026-07-03T11:51:34,audit,fable,medium,2,19.695,593,,7116,977,3,0,
2026-07-03T11:51:36,audit,fable,high,4,24.593,906,,7116,1230,3,0,
2026-07-03T11:51:59,audit,fable,low,4,24.711,495,,6574,743,3,0,
2026-07-03T11:52:18,easy,fable,high,2,18.848,426,,6769,1152,1,0,
2026-07-03T11:52:41,realistic,opus,max,7,83.638,5826,,7402,1426,,0,
2026-07-03T11:53:44,realistic,fable,max,3,63.149,4268,,7402,1171,,0,
2026-07-03T11:54:10,audit,fable,medium,1,26.247,755,,6694,951,3,0,
2026-07-03T12:23:04,needle,fable,low,6,119.543,7431,,7402,9990,0,0,0
2026-07-03T12:23:36,needle,fable,medium,10,159.411,11401,,7402,10482,0,0,0
2026-07-03T12:24:09,needle,opus,high,2,188.548,13799,,7413,9766,0,0,0
2026-07-03T12:25:37,needle,fable,low,3,120.936,8233,,7423,12034,0,0,0
2026-07-03T12:35:14,needle,opus,medium,4,153.164,10780,,7423,8440,0,0,0
2026-07-03T12:35:28,needle,fable,medium,1,162.576,11955,,7412,12982,0,0,0
2026-07-03T12:35:58,needle,opus,medium,2,188.814,13454,,7423,9033,0,0,0
2026-07-03T12:39:08,needle,fable,high,3,233.71,17942,,7402,15611,0,0,0
2026-07-03T12:43:09,needle,fable,low,1,117.3,8275,,7412,9180,0,0,0
2026-07-03T12:44:10,needle,opus,medium,5,170.857,12387,,7423,8982,0,0,0
2026-07-03T12:44:15,needle,opus,high,4,179.305,12615,,7412,8206,0,0,0
2026-07-03T12:44:41,needle,opus,high,1,221.755,16318,,7423,10366,0,0,0
2026-07-03T12:44:50,needle,opus,high,5,226.217,16499,,7423,11132,0,0,0
2026-07-03T12:44:58,needle,fable,low,2,109.239,7142,,7423,9286,0,0,0
2026-07-03T12:45:34,needle,opus,xhigh,5,266.615,19547,,7412,10504,0,0,0
2026-07-03T12:47:01,needle,opus,low,1,131.619,9170,,7423,10190,0,0,0
2026-07-03T12:47:39,needle,fable,medium,3,160.579,11916,,7402,13226,0,0,0
2026-07-03T12:47:52,needle,fable,medium,2,190.504,13748,,7402,15639,0,0,0
2026-07-03T12:48:20,needle,fable,high,5,249.385,18689,,7402,14546,0,0,0
2026-07-03T12:49:38,needle,opus,xhigh,2,323.284,24376,,7423,12180,0,0,0
2026-07-03T12:50:46,needle,opus,medium,3,174.414,13087,,7412,9405,0,0,0
2026-07-03T12:51:32,needle,opus,xhigh,3,358.191,27509,,7413,13681,0,0,0
2026-07-03T12:53:03,needle,opus,high,3,205.141,14675,,7423,12312,0,0,0
2026-07-03T12:53:37,needle,fable,xhigh,1,395.329,30338,,7425,12659,1,0,1
2026-07-03T12:54:51,needle,opus,max,5,432.103,33521,,7423,13380,0,0,0
2026-07-03T12:55:41,needle,opus,max,3,440.973,33134,,7423,11089,0,0,0
2026-07-03T12:55:53,needle,opus,low,4,136.397,9072,,7423,7632,0,0,0
2026-07-03T12:56:36,needle,fable,high,2,303.868,23396,,7423,15945,0,0,0
2026-07-03T12:58:04,needle,opus,max,1,438.165,33122,,7402,10641,0,0,0
2026-07-03T12:59:28,needle,fable,xhigh,4,384.37,29302,,7423,14862,0,0,0
2026-07-03T12:59:51,needle,fable,high,1,250.619,19479,,7402,14960,0,0,0
2026-07-03T13:01:40,needle,opus,low,3,132.185,9196,,7423,7794,0,0,0
2026-07-03T13:02:02,needle,opus,low,2,130.62,9439,,7402,7098,0,0,0
2026-07-03T13:02:57,needle,opus,xhigh,4,292.523,22924,,7423,10869,0,0,0
2026-07-03T13:06:10,needle,fable,high,4,270.499,20692,,7425,14905,0,0,0
2026-07-03T13:06:15,needle,fable,max,4,579.088,44010,,7538,16936,1,0,1
2026-07-03T13:06:31,needle,fable,max,3,700.135,,,,0,0,-9,0
2026-07-03T13:07:14,needle,fable,max,5,681.274,51939,,7408,17052,1,0,1
2026-07-03T13:08:09,needle,fable,low,4,113.892,7906,,7423,9230,0,0,0
2026-07-03T13:08:17,needle,opus,low,5,126.284,8596,,7413,8812,0,0,0
2026-07-03T13:08:50,needle,opus,xhigh,1,352.733,25816,,7402,12124,0,0,0
2026-07-03T13:09:12,needle,fable,medium,4,161.375,11400,,7423,11469,0,0,0
2026-07-03T13:11:55,needle,fable,max,1,593.226,45145,,7402,18796,0,0,0
2026-07-03T13:14:22,needle,fable,xhigh,5,332.744,26030,,7425,12447,1,0,1
2026-07-03T13:14:32,needle,opus,medium,1,157.113,10735,,7412,10672,0,0,0
2026-07-03T13:14:44,needle,opus,max,4,449.125,33594,,7423,15501,0,0,0
2026-07-03T13:16:23,needle,fable,xhigh,3,430.646,32163,,7402,15630,0,0,0
2026-07-03T13:19:20,needle,fable,max,2,670.238,49619,,7528,21370,1,0,1
2026-07-03T13:20:35,needle,fable,xhigh,2,351.862,27323,,7402,14890,0,0,0
2026-07-03T13:27:35,needle,opus,max,2,495.814,36986,,7416,14772,0,0,0
2026-07-03T13:38:51,needle-skill,opus,xhigh,1,380.346,28765,,7402,13725,0,0,0
2026-07-03T13:40:04,needle,fable,max,6,562.709,43864,,7404,14219,0,0,0
